MatchID,MapID,MapName
2366765/ence-athena-vs-big-equipa-esl-impact-league-season-4-europe,163163,Vertigo
2366114/liquid-vs-virtuspro-esl-pro-league-season-18,163139,Inferno
2366114/liquid-vs-virtuspro-esl-pro-league-season-18,163147,Mirage
2366114/liquid-vs-virtuspro-esl-pro-league-season-18,163156,Anubis
2366115/g2-vs-lynn-vision-esl-pro-league-season-18,163140,Anubis
2366115/g2-vs-lynn-vision-esl-pro-league-season-18,163146,Inferno
2366787/selva-vs-sinners-cct-2023-online-finals-3,163131,Mirage
2366787/selva-vs-sinners-cct-2023-online-finals-3,163135,Ancient
2366787/selva-vs-sinners-cct-2023-online-finals-3,163142,Vertigo
2366864/case-vs-windingo-cct-south-america-series-11,163133,Ancient
2366864/case-vs-windingo-cct-south-america-series-11,163134,Mirage
2366864/case-vs-windingo-cct-south-america-series-11,163138,Inferno
2366861/9-pandas-vs-genone-cct-north-europe-series-8,163126,Anubis
2366861/9-pandas-vs-genone-cct-north-europe-series-8,163130,Inferno
2366861/9-pandas-vs-genone-cct-north-europe-series-8,163137,Mirage
2366730/vantage-vs-sunday-school-esl-australia-nz-championship-season-17,163125,Overpass
2366730/vantage-vs-sunday-school-esl-australia-nz-championship-season-17,163129,Mirage
2366730/vantage-vs-sunday-school-esl-australia-nz-championship-season-17,163132,Inferno
2366786/sharks-vs-into-the-breach-cct-2023-online-finals-3,163123,Anubis
2366786/sharks-vs-into-the-breach-cct-2023-online-finals-3,163127,Mirage
2366860/alternate-attax-vs-zero-tenacity-cct-north-europe-series-8,163119,Overpass
2366860/alternate-attax-vs-zero-tenacity-cct-north-europe-series-8,163122,Mirage
2366729/looking-for-org-vs-mindfreak-esl-australia-nz-championship-season-17,163120,Nuke
2366729/looking-for-org-vs-mindfreak-esl-australia-nz-championship-season-17,163121,Inferno
2366848/filhos-de-d10s-vs-case-redzone-pro-league-2023-season-6,163114,Mirage
2366848/filhos-de-d10s-vs-case-redzone-pro-league-2023-season-6,163116,Ancient
2366848/filhos-de-d10s-vs-case-redzone-pro-league-2023-season-6,163118,Nuke
2366825/windingo-vs-corinthians-cct-south-america-series-11,163115,Anubis
2366825/windingo-vs-corinthians-cct-south-america-series-11,163117,Overpass
2366785/mibr-vs-havu-cct-2023-online-finals-3,163111,Ancient
2366785/mibr-vs-havu-cct-2023-online-finals-3,163113,Mirage
2366816/500-vs-los-kogutos-cct-east-europe-series-2,163103,Mirage
2366816/500-vs-los-kogutos-cct-east-europe-series-2,163107,Overpass
2366816/500-vs-los-kogutos-cct-east-europe-series-2,163112,Ancient
2366859/sampi-vs-b8-cct-north-europe-series-8,163105,Ancient
2366859/sampi-vs-b8-cct-north-europe-series-8,163109,Inferno
2366824/o-plano-vs-solid-cct-south-america-series-11,163106,Nuke
2366824/o-plano-vs-solid-cct-south-america-series-11,163108,Overpass
2366784/og-vs-fake-natty-cct-2023-online-finals-3,163101,Ancient
2366784/og-vs-fake-natty-cct-2023-online-finals-3,163104,Anubis
2366823/intense-vs-bebold-cct-south-america-series-11,163099,Inferno
2366823/intense-vs-bebold-cct-south-america-series-11,163102,Ancient
2366858/los-kogutos-vs-aurora-young-blud-cct-north-europe-series-8,163094,Vertigo
2366858/los-kogutos-vs-aurora-young-blud-cct-north-europe-series-8,163100,Anubis
2366732/rooster-vs-dxa-esl-australia-nz-championship-season-17,163088,Vertigo
2366732/rooster-vs-dxa-esl-australia-nz-championship-season-17,163093,Nuke
2366732/rooster-vs-dxa-esl-australia-nz-championship-season-17,163097,Inferno
2366815/pompa-vs-arcred-cct-east-europe-series-2,163095,Ancient
2366815/pompa-vs-arcred-cct-east-europe-series-2,163098,Nuke
2366783/00nation-vs-sprout-cct-2023-online-finals-3,163091,Mirage
2366783/00nation-vs-sprout-cct-2023-online-finals-3,163096,Anubis
2366814/9-pandas-vs-forze-cct-east-europe-series-2,163082,Mirage
2366814/9-pandas-vs-forze-cct-east-europe-series-2,163087,Overpass
2366814/9-pandas-vs-forze-cct-east-europe-series-2,163090,Ancient
2366857/falcons-vs-pge-turow-cct-north-europe-series-8,163085,Mirage
2366857/falcons-vs-pge-turow-cct-north-europe-series-8,163089,Vertigo
2366731/vertex-vs-grayhound-esl-australia-nz-championship-season-17,163078,Mirage
2366731/vertex-vs-grayhound-esl-australia-nz-championship-season-17,163080,Inferno
2366731/vertex-vs-grayhound-esl-australia-nz-championship-season-17,163084,Nuke
2366782/aurora-vs-into-the-breach-cct-2023-online-finals-3,163081,Inferno
2366782/aurora-vs-into-the-breach-cct-2023-online-finals-3,163083,Ancient
2366856/ecstatic-vs-anonymo-cct-north-europe-series-8,163077,Overpass
2366856/ecstatic-vs-anonymo-cct-north-europe-series-8,163079,Ancient
2366822/corinthians-vs-mibr-academy-cct-south-america-series-11,163072,Overpass
2366822/corinthians-vs-mibr-academy-cct-south-america-series-11,163073,Anubis
2366822/corinthians-vs-mibr-academy-cct-south-america-series-11,163076,Mirage
2366781/1win-vs-sharks-cct-2023-online-finals-3,163074,Ancient
2366781/1win-vs-sharks-cct-2023-online-finals-3,163075,Vertigo
2366780/alternate-attax-vs-preasy-cct-2023-online-finals-3,163063,Overpass
2366780/alternate-attax-vs-preasy-cct-2023-online-finals-3,163068,Ancient
2366780/alternate-attax-vs-preasy-cct-2023-online-finals-3,163071,Inferno
2366813/betboom-vs-arcred-cct-east-europe-series-2,163060,Anubis
2366813/betboom-vs-arcred-cct-east-europe-series-2,163064,Nuke
2366813/betboom-vs-arcred-cct-east-europe-series-2,163070,Mirage
2366763/endpoint-vs-b8-cct-north-europe-series-8,163065,Inferno
2366763/endpoint-vs-b8-cct-north-europe-series-8,163069,Anubis
2366821/bebold-vs-furia-academy-cct-south-america-series-11,163059,Ancient
2366821/bebold-vs-furia-academy-cct-south-america-series-11,163066,Mirage
2366489/saw-vs-spirit-thunderpick-world-championship-2023-europe-series-2,163050,Overpass
2366489/saw-vs-spirit-thunderpick-world-championship-2023-europe-series-2,163054,Vertigo
2366489/saw-vs-spirit-thunderpick-world-championship-2023-europe-series-2,163061,Ancient
2366762/ecstatic-vs-zero-tenacity-cct-north-europe-series-8,163049,Overpass
2366762/ecstatic-vs-zero-tenacity-cct-north-europe-series-8,163053,Anubis
2366762/ecstatic-vs-zero-tenacity-cct-north-europe-series-8,163058,Nuke
2366779/monte-vs-selva-cct-2023-online-finals-3,163047,Overpass
2366779/monte-vs-selva-cct-2023-online-finals-3,163056,Anubis
2366779/monte-vs-selva-cct-2023-online-finals-3,163057,Mirage
2366812/pompa-vs-sprout-cct-east-europe-series-2,163051,Overpass
2366812/pompa-vs-sprout-cct-east-europe-series-2,163055,Vertigo
2366820/solid-vs-the-union-cct-south-america-series-11,163048,Nuke
2366820/solid-vs-the-union-cct-south-america-series-11,163052,Anubis
2366811/9-pandas-vs-falcons-cct-east-europe-series-2,163035,Anubis
2366811/9-pandas-vs-falcons-cct-east-europe-series-2,163044,Mirage
2366811/9-pandas-vs-falcons-cct-east-europe-series-2,163046,Ancient
2366778/sinners-vs-looking4org-cct-2023-online-finals-3,163031,Anubis
2366778/sinners-vs-looking4org-cct-2023-online-finals-3,163040,Inferno
2366778/sinners-vs-looking4org-cct-2023-online-finals-3,163045,Overpass
2366608/sprout-vs-entropiq-european-pro-league-season-10,163027,Overpass
2366608/sprout-vs-entropiq-european-pro-league-season-10,163029,Inferno
2366608/sprout-vs-entropiq-european-pro-league-season-10,163033,Ancient
2366608/sprout-vs-entropiq-european-pro-league-season-10,163038,Anubis
2366608/sprout-vs-entropiq-european-pro-league-season-10,163043,Mirage
2366761/los-kogutos-vs-genone-cct-north-europe-series-8,163037,Anubis
2366761/los-kogutos-vs-genone-cct-north-europe-series-8,163042,Nuke
2366760/preasy-vs-sampi-cct-north-europe-series-8,163028,Ancient
2366760/preasy-vs-sampi-cct-north-europe-series-8,163030,Inferno
2366852/nouns-vs-evil-geniuses-esea-summer-2023-cash-cup-1-north-america,163021,Inferno
2366852/nouns-vs-evil-geniuses-esea-summer-2023-cash-cup-1-north-america,163024,Mirage
2366852/nouns-vs-evil-geniuses-esea-summer-2023-cash-cup-1-north-america,163026,Nuke
2366853/party-astronauts-vs-wildcard-esea-summer-2023-cash-cup-1-north-america,163022,Ancient
2366853/party-astronauts-vs-wildcard-esea-summer-2023-cash-cup-1-north-america,163023,Overpass
2366853/party-astronauts-vs-wildcard-esea-summer-2023-cash-cup-1-north-america,163025,Nuke
2366851/wildcard-vs-evil-geniuses-esea-summer-2023-cash-cup-1-north-america,163008,Ancient
2366851/wildcard-vs-evil-geniuses-esea-summer-2023-cash-cup-1-north-america,163015,Overpass
2366851/wildcard-vs-evil-geniuses-esea-summer-2023-cash-cup-1-north-america,163020,Inferno
2366723/oddik-vs-pain-cbcs-2023-season-2,163013,Anubis
2366723/oddik-vs-pain-cbcs-2023-season-2,163017,Vertigo
2366850/nouns-vs-party-astronauts-esea-summer-2023-cash-cup-1-north-america,163009,Nuke
2366850/nouns-vs-party-astronauts-esea-summer-2023-cash-cup-1-north-america,163014,Mirage
2366819/windingo-vs-lrv-cct-south-america-series-11,163002,Ancient
2366819/windingo-vs-lrv-cct-south-america-series-11,163006,Inferno
2366819/windingo-vs-lrv-cct-south-america-series-11,163012,Nuke
2366721/uno-mille-vs-case-cbcs-2023-season-2,163004,Nuke
2366721/uno-mille-vs-case-cbcs-2023-season-2,163011,Anubis
2366652/cloud9-vs-spirit-res-eastern-european-masters-fall-2023-blast-premier-qualifier,163003,Anubis
